Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1725565975274,05/09/2024 19:52:55,1725540775274,-7,05/09/2024 05:52:55,183710,6,questionnaire-7y3d,,39906291,c7y8j21i,11667632,,complete,yqysxg,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,1920x1080,1920x965,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725565281413,05/09/2024 19:41:21,1725543681413,-6,05/09/2024 07:41:21,183710,6,questionnaire-7y3d,,39906153,gdg9673h,11667573,,complete,lujfys,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1902x921,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725565290005,05/09/2024 19:41:30,1725543690005,-6,05/09/2024 07:41:30,183710,6,questionnaire-7y3d,,39906153,gdg9673h,11667573,,complete,lujfys,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1902x921,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725565030250,05/09/2024 19:37:10,1725539830250,-7,05/09/2024 05:37:10,183710,6,questionnaire-7y3d,,39906103,27pslawp,11667572,,complete,ycqtjp,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725565035832,05/09/2024 19:37:15,1725539835832,-7,05/09/2024 05:37:15,183710,6,questionnaire-7y3d,,39906103,27pslawp,11667572,,complete,ycqtjp,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725562668553,05/09/2024 18:57:48,1725537468553,-7,05/09/2024 04:57:48,183710,6,questionnaire-7y3d,,39905399,mvszvwtf,11667383,,complete,enlrzv,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x929,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725562673929,05/09/2024 18:57:53,1725537473929,-7,05/09/2024 04:57:53,183710,6,questionnaire-7y3d,,39905399,mvszvwtf,11667383,,complete,enlrzv,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x929,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725559188115,05/09/2024 17:59:48,1725533988115,-7,05/09/2024 03:59:48,183710,6,questionnaire-7y3d,,39904028,m6wp4cjo,11667145,,complete,tvmahu,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1810x916,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725559193723,05/09/2024 17:59:53,1725533993723,-7,05/09/2024 03:59:53,183710,6,questionnaire-7y3d,,39904028,m6wp4cjo,11667145,,complete,tvmahu,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1810x916,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725556858345,05/09/2024 17:20:58,1725538858345,-5,05/09/2024 07:20:58,183710,6,questionnaire-7y3d,,39903077,7zvev7fw,11666969,,complete,ajmiio,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725556865417,05/09/2024 17:21:05,1725538865417,-5,05/09/2024 07:21:05,183710,6,questionnaire-7y3d,,39903077,7zvev7fw,11666969,,complete,ajmiio,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x599,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725553606475,05/09/2024 16:26:46,1725528406475,-7,05/09/2024 02:26:46,183710,6,questionnaire-7y3d,,39901428,hqoh7r3y,11666650,,complete,dzznqc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 127.0.0.0,1706x959,1706x791,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725553611668,05/09/2024 16:26:51,1725528411668,-7,05/09/2024 02:26:51,183710,6,questionnaire-7y3d,,39901428,hqoh7r3y,11666650,,complete,dzznqc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 127.0.0.0,1706x959,1706x791,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725552790206,05/09/2024 16:13:10,1725538390206,-4,05/09/2024 08:13:10,183710,6,questionnaire-7y3d,,39900957,eyn71vqm,11666629,,complete,lhxjnj,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1707x748,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725552795814,05/09/2024 16:13:15,1725538395814,-4,05/09/2024 08:13:15,183710,6,questionnaire-7y3d,,39900957,eyn71vqm,11666629,,complete,lhxjnj,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1707x748,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
