Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
2,1706886791095,02/02/2024 15:13:11,1706868791095,-5,02/02/2024 05:13:11,163181,2,task-5xl3,,34737831,c9rq5b0y,10270474,,complete,mijwzc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1366x768,1517x665,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,50845.79999998808,50836.9,50845.79999998808,50845.79999998808,50836.9,50845.79999998808,1,50845.79999998808,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706886791106,02/02/2024 15:13:11,1706868791106,-5,02/02/2024 05:13:11,163181,2,task-5xl3,,34737831,c9rq5b0y,10270474,,complete,mijwzc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1366x768,1517x665,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706886928468,02/02/2024 15:15:28,1706868928468,-5,02/02/2024 05:15:28,163181,2,task-5xl3,,34738077,0sr4702l,10270540,,complete,qwxlfn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1360x768,1360x607,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706886940790,02/02/2024 15:15:40,1706868940790,-5,02/02/2024 05:15:40,163181,2,task-5xl3,,34738077,0sr4702l,10270540,,complete,qwxlfn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1360x768,1360x607,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,14901.999999999998,14885.3,14901.999999999998,14901.999999999998,14885.3,14901.999999999998,1,14901.999999999998,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706886940805,02/02/2024 15:15:40,1706868940805,-5,02/02/2024 05:15:40,163181,2,task-5xl3,,34738077,0sr4702l,10270540,,complete,qwxlfn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1360x768,1360x607,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706887148634,02/02/2024 15:19:08,1706869148634,-5,02/02/2024 05:19:08,163181,2,task-5xl3,,34738443,jdhmyaj1,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706887279584,02/02/2024 15:21:19,1706869279584,-5,02/02/2024 05:21:19,163181,2,task-5xl3,,34738443,jdhmyaj1,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,134314.80000000002,134298.1,134314.80000000002,134314.80000000002,134298.1,134314.80000000002,1,134314.80000000002,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706887279591,02/02/2024 15:21:19,1706869279591,-5,02/02/2024 05:21:19,163181,2,task-5xl3,,34738443,jdhmyaj1,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706887625734,02/02/2024 15:27:05,1706869625734,-5,02/02/2024 05:27:05,163181,2,task-5xl3,,34739214,dub5of15,10270847,,complete,omnqtj,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1440,1098x1075,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706887628769,02/02/2024 15:27:08,1706869628769,-5,02/02/2024 05:27:08,163181,2,task-5xl3,,34739214,dub5of15,10270847,,complete,omnqtj,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1440,1098x1075,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,3040.800000143051,3034.8999999999996,3040.800000143051,3040.800000143051,3034.8999999999996,3040.800000143051,1,3040.800000143051,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
