Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1706887156402,02/02/2024 15:19:16,1706869156402,-5,02/02/2024 05:19:16,163181,2,questionnaire-7y3d,,34738453,2h6x7m5l,10270008,,complete,ypnxyp,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Debrief,1,B_1AlexAnx_2PatNorm,BA,,,,,5,,END,,,,,
1,1706887368129,02/02/2024 15:22:48,1706869368129,-5,02/02/2024 05:22:48,163181,2,questionnaire-7y3d,,34738899,eookhlqw,10270100,,complete,mljpfy,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1600x900,1600x789,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706887372534,02/02/2024 15:22:52,1706869372534,-5,02/02/2024 05:22:52,163181,2,questionnaire-7y3d,,34738899,eookhlqw,10270100,,complete,mljpfy,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1600x900,1600x789,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706887611815,02/02/2024 15:26:51,1706869611815,-5,02/02/2024 05:26:51,163181,2,questionnaire-7y3d,,34739189,gszx8vtq,10269942,,complete,auwjcg,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1080,1703x814,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,BEGIN,,,,,
2,1706887618888,02/02/2024 15:26:58,1706869618888,-5,02/02/2024 05:26:58,163181,2,questionnaire-7y3d,,34739189,gszx8vtq,10269942,,complete,auwjcg,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1080,1703x814,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,END,,,,,
1,1706888047868,02/02/2024 15:34:07,1706859247868,-8,01/02/2024 23:34:07,163181,2,questionnaire-7y3d,,34739542,qvr1j54m,10270275,,complete,koewbl,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,2880x1620,1455x1184,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706888058842,02/02/2024 15:34:18,1706859258842,-8,01/02/2024 23:34:18,163181,2,questionnaire-7y3d,,34739542,qvr1j54m,10270275,,complete,koewbl,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,2880x1620,1455x1184,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706888681658,02/02/2024 15:44:41,1706859881658,-8,01/02/2024 23:44:41,163181,2,questionnaire-7y3d,,34740203,00z4eueg,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x660,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1706888687164,02/02/2024 15:44:47,1706859887164,-8,01/02/2024 23:44:47,163181,2,questionnaire-7y3d,,34740203,00z4eueg,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x660,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1706888812541,02/02/2024 15:46:52,1706870812541,-5,02/02/2024 05:46:52,163181,2,questionnaire-7y3d,,34740325,c9rq5b0y,10270474,,complete,mijwzc,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1366x768,1517x665,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,BEGIN,,,,,
