Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1705420288370,16/01/2024 15:51:28,1705391488370,-8,15/01/2024 23:51:28,154938,3,questionnaire-ptwy,,34256909,17xk5ztn,10117424,,complete,floywu,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x911,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705420325338,16/01/2024 15:52:05,1705402325338,-5,16/01/2024 05:52:05,154938,3,questionnaire-ptwy,,34256945,62h11qii,10117478,,complete,hkxewv,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705420332700,16/01/2024 15:52:12,1705402332700,-5,16/01/2024 05:52:12,154938,3,questionnaire-ptwy,,34256945,62h11qii,10117478,,complete,hkxewv,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1600x900,1600x773,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705420676612,16/01/2024 15:57:56,1705399076612,-6,16/01/2024 03:57:56,154938,3,questionnaire-ptwy,,34257112,mmjbc8pd,10117696,,complete,pmgorz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2048x1152,2048x991,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705420683201,16/01/2024 15:58:03,1705399083201,-6,16/01/2024 03:58:03,154938,3,questionnaire-ptwy,,34257112,mmjbc8pd,10117696,,complete,pmgorz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2048x1152,2048x991,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705420712732,16/01/2024 15:58:32,1705420712732,0,16/01/2024 15:58:32,154938,3,questionnaire-ptwy,,34257127,jboukak9,10117760,,complete,hkeibx,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x937,1920x937,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705420716532,16/01/2024 15:58:36,1705420716532,0,16/01/2024 15:58:36,154938,3,questionnaire-ptwy,,34257127,jboukak9,10117760,,complete,hkeibx,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x937,1920x937,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705420831463,16/01/2024 16:00:31,1705402831463,-5,16/01/2024 06:00:31,154938,3,questionnaire-ptwy,,34257203,5tnr0asf,10117839,,complete,bpssrv,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1920x879,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1705420846208,16/01/2024 16:00:46,1705402846208,-5,16/01/2024 06:00:46,154938,3,questionnaire-ptwy,,34257203,5tnr0asf,10117839,,complete,bpssrv,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1920x879,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705421722937,16/01/2024 16:15:22,1705396522937,-7,16/01/2024 02:15:22,154938,3,questionnaire-ptwy,,34257587,aoftrbzh,10118016,,complete,zchlsn,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1920x1080,1920x927,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1705421736834,16/01/2024 16:15:36,1705396536834,-7,16/01/2024 02:15:36,154938,3,questionnaire-ptwy,,34257587,aoftrbzh,10118016,,complete,zchlsn,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1920x1080,1920x927,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705421723725,16/01/2024 16:15:23,1705403723725,-5,16/01/2024 06:15:23,154938,3,questionnaire-ptwy,,34257588,cce3r9ne,10117912,,complete,udcqvg,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x679,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705421753718,16/01/2024 16:15:53,1705403753718,-5,16/01/2024 06:15:53,154938,3,questionnaire-ptwy,,34257588,cce3r9ne,10117912,,complete,udcqvg,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x679,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705421762521,16/01/2024 16:16:02,1705392962521,-8,16/01/2024 00:16:02,154938,3,questionnaire-ptwy,,34257604,q278dgwb,10117950,,complete,uehdtw,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x932,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705421775792,16/01/2024 16:16:15,1705392975792,-8,16/01/2024 00:16:15,154938,3,questionnaire-ptwy,,34257604,q278dgwb,10117950,,complete,uehdtw,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x932,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1705421810406,16/01/2024 16:16:50,1705400210406,-6,16/01/2024 04:16:50,154938,3,questionnaire-ptwy,,34257627,3rbj54yd,10117874,,complete,veyisd,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1280x800,1280x712,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705421814143,16/01/2024 16:16:54,1705400214143,-6,16/01/2024 04:16:54,154938,3,questionnaire-ptwy,,34257627,3rbj54yd,10117874,,complete,veyisd,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1280x800,1280x712,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705422787868,16/01/2024 16:33:07,1705397587868,-7,16/01/2024 02:33:07,154938,3,questionnaire-ptwy,,34258238,vkxyln5t,10118268,,complete,lkqohq,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1538x728,1536x726,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705422790939,16/01/2024 16:33:10,1705397590939,-7,16/01/2024 02:33:10,154938,3,questionnaire-ptwy,,34258238,vkxyln5t,10118268,,complete,lkqohq,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1538x728,1536x726,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1705423239760,16/01/2024 16:40:39,1705405239760,-5,16/01/2024 06:40:39,154938,3,questionnaire-ptwy,,34258493,qghe7swt,10118299,,complete,tcjsxw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1707x748,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1705423244616,16/01/2024 16:40:44,1705405244616,-5,16/01/2024 06:40:44,154938,3,questionnaire-ptwy,,34258493,qghe7swt,10118299,,complete,tcjsxw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1707x748,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705423381013,16/01/2024 16:43:01,1705405381013,-5,16/01/2024 06:43:01,154938,3,questionnaire-ptwy,,34258558,5gi00vec,10118261,,complete,edhfnf,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1536x960,1536x744,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705423390446,16/01/2024 16:43:10,1705405390446,-5,16/01/2024 06:43:10,154938,3,questionnaire-ptwy,,34258558,5gi00vec,10118261,,complete,edhfnf,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1536x960,1536x744,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705424947758,16/01/2024 17:09:07,1705406947758,-5,16/01/2024 07:09:07,154938,3,questionnaire-ptwy,,34259371,kuq360w1,10118208,,complete,qoiost,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x813,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705425082176,16/01/2024 17:11:22,1705407082176,-5,16/01/2024 07:11:22,154938,3,questionnaire-ptwy,,34259371,kuq360w1,10118208,,complete,qoiost,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x813,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705433183122,16/01/2024 19:26:23,1705415183122,-5,16/01/2024 09:26:23,154938,3,questionnaire-ptwy,,34264119,wcou6bm5,10117199,,complete,cqyldl,,computer,Desktop or Laptop,Linux x86_64,Chrome 120.0.0.0,412x915,980x1826,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705433191126,16/01/2024 19:26:31,1705415191126,-5,16/01/2024 09:26:31,154938,3,questionnaire-ptwy,,34264119,wcou6bm5,10117199,,complete,cqyldl,,computer,Desktop or Laptop,Linux x86_64,Chrome 120.0.0.0,412x915,980x1959,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
END OF FILE
