"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
40358,"inverse",15,0,9,2,43.5384615384615,5,2,13,6,17.3461538461538,NA,26,0.461538461538462,0.36
92241,"inverse",4,0,12,10,23.3461538461538,1,2,21,2,7.42307692307692,NA,26,0.423076923076923,0.52
53958,"inverse",9,1,15,1,30.8076923076923,4,5,12,5,11.3076923076923,NA,26,0.346153846153846,0.4
46796,"inverse",15,7,4,0,34.4230769230769,5,6,12,3,9.73076923076923,NA,26,0.346153846153846,0.32
54165,"inverse",8,7,9,2,36.0769230769231,3,7,14,2,14.1153846153846,NA,26,0.307692307692308,0.4
32999,"inverse",19,2,4,1,35.2307692307692,3,1,18,4,9.92307692307692,NA,26,0.192307692307692,0.32
39756,"inverse",5,0,20,1,37.1538461538462,3,0,21,2,13.8461538461538,NA,26,0.576923076923077,0.6
31717,"inverse",14,2,8,2,34.8461538461538,3,3,14,6,24.6923076923077,NA,26,0.307692307692308,0.28
16042,"inverse",18,1,5,2,39.3076923076923,11,0,11,4,20.3846153846154,NA,26,0.384615384615385,0.44
95835,"inverse",17,1,6,2,37.3846153846154,4,9,13,0,16.4615384615385,NA,26,0.269230769230769,0.28
65978,"inverse",10,0,4,12,38.0384615384615,7,0,11,8,23.3076923076923,NA,26,0.192307692307692,0.48
98498,"inverse",10,3,5,8,40.0384615384615,7,8,5,6,31.3846153846154,NA,26,0.423076923076923,0.44
91115,"inverse",18,3,4,1,33.4230769230769,10,0,12,4,15.2692307692308,NA,26,0.346153846153846,0.36
72945,"inverse",10,2,2,12,40.1923076923077,9,3,4,10,34.8846153846154,NA,26,0.5,0.64
40570,"inverse",17,1,8,0,44.5769230769231,10,4,11,1,30.8846153846154,NA,26,0.5,0.6
40326,"inverse",11,2,12,1,30.6538461538462,3,4,16,3,15.4230769230769,NA,26,0.423076923076923,0.36
21566,"inverse",11,2,9,4,35.1153846153846,6,2,15,3,18.7307692307692,NA,26,0.346153846153846,0.44
71586,"inverse",5,1,15,5,34.5384615384615,6,2,14,4,17.5,NA,26,0.5,0.44
23105,"inverse",6,0,4,16,33.1923076923077,7,0,7,12,20.6538461538462,NA,26,0.5,0.64
32062,"inverse",11,4,8,3,28.9230769230769,1,2,15,8,6.69230769230769,NA,26,0.346153846153846,0.36
32418,"inverse",18,4,3,1,43.5,2,3,15,6,7.88461538461539,NA,26,0.115384615384615,0.2
46188,"inverse",13,0,9,4,32.7307692307692,8,0,11,7,18.1538461538462,NA,26,0.576923076923077,0.72
65180,"inverse",14,4,8,0,27.3846153846154,2,2,16,6,7.53846153846154,NA,26,0.307692307692308,0.2
81053,"inverse",12,5,8,1,34.6538461538462,1,1,21,3,6.76923076923077,NA,26,0.307692307692308,0.2
12178,"inverse",12,10,4,0,44.5769230769231,9,4,13,0,26.9230769230769,NA,26,0.346153846153846,0.48
95066,"inverse",12,4,9,1,32.6923076923077,3,6,11,6,16.3461538461538,NA,26,0.384615384615385,0.36
77117,"inverse",7,10,9,0,35.7692307692308,2,4,18,2,11.3846153846154,NA,26,0.461538461538462,0.44
63092,"inverse",19,6,1,0,32.9230769230769,3,3,13,7,10.8846153846154,NA,26,0.192307692307692,0.12
38794,"inverse",7,0,17,0,32.75,4,0,12,8,11,NA,24,0.375,0.478260869565217
22826,"inverse",10,0,16,0,24.3076923076923,2,3,16,5,5.84615384615385,NA,26,0.538461538461538,0.44
89703,"inverse",2,0,9,15,18.0384615384615,3,1,17,5,7.57692307692308,NA,26,0.461538461538462,0.52
41788,"inverse",9,2,8,7,43.5769230769231,3,4,14,5,18.8461538461538,NA,26,0.269230769230769,0.36
65534,"inverse",2,0,6,17,27.68,3,3,16,3,12.12,NA,25,0.28,0.333333333333333
33211,"inverse",7,5,14,0,32.3846153846154,6,0,18,2,10.4230769230769,NA,26,0.346153846153846,0.56
49157,"inverse",17,4,3,2,30.3076923076923,3,2,15,6,13.6538461538462,NA,26,0.269230769230769,0.28
50862,"inverse",14,6,4,2,40,3,1,18,4,11.9230769230769,NA,26,0.269230769230769,0.16
55599,"inverse",14,5,4,3,41.8461538461538,8,4,8,6,23.3076923076923,NA,26,0.307692307692308,0.32
47804,"inverse",4,0,10,12,27.6923076923077,1,2,19,4,11.1923076923077,NA,26,0.461538461538462,0.4
26627,"inverse",18,5,2,1,36.8461538461538,7,3,10,6,20.6538461538462,NA,26,0.192307692307692,0.4
54409,"inverse",15,5,6,0,31.3076923076923,2,6,14,4,15.2307692307692,NA,26,0.269230769230769,0.28
71591,"inverse",4,13,9,0,39.4615384615385,3,6,14,3,10.8076923076923,NA,26,0.346153846153846,0.48
63854,"inverse",9,3,10,4,37.8846153846154,7,3,12,4,22.5384615384615,NA,26,0.269230769230769,0.44
70424,"inverse",9,13,4,0,34.5,1,5,17,3,5.73076923076923,NA,26,0.192307692307692,0.28
43118,"inverse",12,9,2,3,36.6153846153846,6,1,14,5,16.2307692307692,NA,26,0.153846153846154,0.2
49061,"inverse",12,11,2,1,45,13,3,9,1,40.6538461538462,NA,26,0.307692307692308,0.52
62828,"inverse",19,6,1,0,36.1153846153846,4,0,10,12,21.3076923076923,NA,26,0.0769230769230769,0.16
24311,"inverse",10,1,7,8,36.6153846153846,10,1,13,2,17.1923076923077,NA,26,0.269230769230769,0.52
23564,"inverse",12,10,4,0,42.3461538461538,3,8,13,2,10.6153846153846,NA,26,0.192307692307692,0.24
88147,"inverse",8,13,4,1,31.6538461538462,3,6,12,5,7.92307692307692,NA,26,0.269230769230769,0.36
76134,"inverse",6,1,13,6,35.2692307692308,4,2,13,7,17.5384615384615,NA,26,0.538461538461538,0.48
74568,"inverse",15,7,4,0,38.8076923076923,12,2,9,3,25.5769230769231,NA,26,0.384615384615385,0.44
88009,"inverse",10,1,14,1,34,5,3,13,5,15.2692307692308,NA,26,0.384615384615385,0.44
83220,"inverse",15,1,10,0,32.8076923076923,7,2,15,2,13.2692307692308,NA,26,0.269230769230769,0.48
10345,"inverse",10,8,8,0,36.9230769230769,4,3,12,7,15.6538461538462,NA,26,0.384615384615385,0.24
59741,"inverse",8,0,15,3,24.6153846153846,4,2,18,2,10.1923076923077,NA,26,0.576923076923077,0.6
82305,"inverse",18,1,5,2,38.1153846153846,5,1,18,2,23.3076923076923,NA,26,0.423076923076923,0.36
91981,"inverse",20,2,4,0,39.8076923076923,8,1,6,11,26.0384615384615,NA,26,0.346153846153846,0.4
44256,"inverse",16,3,6,1,32.5769230769231,4,0,12,10,14.8846153846154,NA,26,0.230769230769231,0.36
26586,"inverse",12,3,11,0,27.6923076923077,9,0,15,2,24.9230769230769,NA,26,0.692307692307692,0.52
83111,"inverse",6,13,5,2,35.4615384615385,1,11,13,1,7.92307692307692,NA,26,0.230769230769231,0.56
29239,"inverse",6,8,5,7,33.6923076923077,4,9,13,0,17.8461538461538,NA,26,0.423076923076923,0.44
29937,"inverse",10,0,8,8,36.8461538461538,5,2,12,7,17.6153846153846,NA,26,0.346153846153846,0.44
98860,"inverse",15,2,7,2,34.5,7,1,11,7,22.4230769230769,NA,26,0.461538461538462,0.52
46509,"inverse",15,9,2,0,33.0769230769231,3,1,18,4,13.2307692307692,NA,26,0.153846153846154,0.12
41227,"inverse",7,3,13,3,25.3076923076923,1,7,16,2,6.5,NA,26,0.576923076923077,0.52
